@relation Results

@attribute Area numeric
@attribute X numeric
@attribute Y numeric
@attribute XM numeric
@attribute YM numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute Circ numeric
@attribute IntDen numeric
@attribute RawIntDen numeric
@attribute Slice numeric
@attribute AR numeric
@attribute Round numeric
@attribute Solidity numeric
@attribute especie {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}

@data
74546,159519,120578,159519,120578,355001,267365,1159,075,19009230,19009230,1,1328,0753,0971,1
75894,159857,120385,159857,120385,358649,269431,179969,0763,19352970,19352970,2,1331,0751,0988,1
75817,159905,120741,159905,120741,359091,268827,179947,0763,19333335,19333335,3,1336,0749,0987,1
74900,160677,121057,160677,121057,355907,267951,0681,0753,19099500,19099500,4,1328,0753,0975,1
74348,161518,121035,161518,121035,353682,26765,0891,0748,18958740,18958740,5,1321,0757,0968,1
73932,159377,119569,159377,119569,353883,266001,2136,0744,18852660,18852660,6,133,0752,0963,1
73811,158962,119311,158962,119311,353421,265913,205,0743,18821805,18821805,7,1329,0752,0961,1
74032,159111,120061,159111,120061,353747,266463,2063,0745,18878160,18878160,8,1328,0753,0964,1
73932,158788,120591,158788,120591,352501,267044,0329,0744,18852660,18852660,9,132,0758,0963,1
74057,159055,120295,159055,120295,353182,26698,0546,0738,18884535,18884535,10,1323,0756,0964,1
72854,158401,119795,158401,119795,350296,264806,1923,0733,18577770,18577770,11,1323,0756,0949,1
73809,159049,119709,159049,119709,353259,266028,2236,0743,18821295,18821295,12,1328,0753,0961,1
72494,158245,1203,158245,1203,348231,26506,1299,0729,18485970,18485970,13,1314,0761,0944,1
73398,159491,119711,159491,119711,352239,265312,1964,0738,18716490,18716490,14,1328,0753,0956,1
73444,158721,11946,158721,11946,352289,26544,2326,0739,18728220,18728220,15,1327,0753,0956,1
74258,159226,119699,159226,119699,354671,26658,1928,0747,18935790,18935790,16,133,0752,0967,1
74551,159098,119673,159098,119673,355032,26736,1364,075,19010505,19010505,17,1328,0753,0971,1
73328,158995,119649,158995,119649,352083,265177,1948,0738,18698640,18698640,18,1328,0753,0955,1
74373,159495,119701,159495,119701,354629,267025,1777,0748,18965115,18965115,19,1328,0753,0968,1
74386,159355,119721,159355,119721,354524,267151,1413,0748,18968430,18968430,20,1327,0754,0969,1
72278,158243,119451,158243,119451,349395,26339,278,0727,18430890,18430890,21,1327,0754,0941,1
73284,158674,11945,158674,11945,35188,26517,249,0738,18687420,18687420,22,1327,0754,0954,1
74619,159128,119706,159128,119706,355103,26755,1487,0751,19027845,19027845,23,1327,0753,0972,1
74784,159128,119575,159128,119575,355754,267651,161,0752,19069920,19069920,24,1329,0752,0974,1
74598,1594,119774,1594,119774,35542,267236,1659,0751,19022490,19022490,25,133,0752,0971,1
74206,159153,120047,159153,120047,354076,266841,156,0747,18922530,18922530,26,1327,0754,0966,1
72761,158754,119598,158754,119598,350676,264181,2017,0732,18554055,18554055,27,1327,0753,0947,1
74357,159133,11965,159133,11965,355163,266565,1847,0746,18961035,18961035,28,1332,0751,0968,1
73942,15873,119415,15873,119415,353825,26608,2282,0744,18855210,18855210,29,133,0752,0963,1
73611,158951,119465,158951,119465,353116,265421,247,0729,18770805,18770805,30,133,0752,0958,1
72812,15871,119581,15871,119581,351017,26411,3043,0732,18567060,18567060,31,1329,0752,0948,1
72726,158164,119923,158164,119923,350334,264312,2423,0732,18545130,18545130,32,1325,0754,0947,1
72643,158376,119406,158376,119406,350845,263626,2841,0731,18523965,18523965,33,1331,0751,0946,1
73243,159148,119174,159148,119174,352826,264312,3035,0737,18676965,18676965,34,1335,0749,0954,1
73379,158958,119222,158958,119222,353312,264438,2138,0738,18711645,18711645,35,1336,0748,0955,1
72913,158225,118972,158225,118972,351387,264198,2968,0733,18592815,18592815,36,133,0752,0949,1
73100,158398,119297,158398,119297,351848,264529,2836,0735,18640500,18640500,37,133,0752,0952,1
72286,158151,119028,158151,119028,350137,262861,3513,0727,18432930,18432930,38,1332,0751,0941,1
73916,159546,119824,159546,119824,354014,265845,2097,0741,18848580,18848580,39,1332,0751,0962,1
74183,159333,119882,159333,119882,354695,266293,1914,0744,18916665,18916665,40,1332,0751,0966,1
73125,158626,119503,158626,119503,351963,264532,274,0736,18646875,18646875,41,1331,0752,0952,1
73808,158929,119399,158929,119399,35372,265677,2366,0742,18821040,18821040,42,1331,0751,0961,1
74131,158992,119724,158992,119724,354479,266268,2268,0746,18903405,18903405,43,1331,0751,0965,1
73649,158926,11942,158926,11942,353453,265305,2542,0741,18780495,18780495,44,1332,0751,0959,1
71689,157946,119001,157946,119001,348936,261587,3815,0721,18280695,18280695,45,1334,075,0933,1
71024,157789,119095,157789,119095,346537,260955,3817,0714,18111120,18111120,46,1328,0753,0925,1
72358,158221,118892,158221,118892,35091,262543,3864,072,18451290,18451290,47,1337,0748,0942,1
73861,159537,120596,159537,120596,354056,265615,177779,0743,18834555,18834555,48,1333,075,0962,1
72334,158451,121167,158451,121167,350456,262796,176855,0728,18445170,18445170,49,1334,075,0942,1
72434,158281,119133,158281,119133,350736,26295,3674,0728,18470670,18470670,50,1334,075,0943,1
72400,158393,119257,158393,119257,350051,26334,3264,0728,18462000,18462000,51,1329,0752,0943,1
73294,161431,12101,161431,12101,352659,264621,3195,0737,18689970,18689970,52,1333,075,0954,1
72801,158565,120049,158565,120049,350803,264231,2323,0732,18564255,18564255,53,1328,0753,0948,1
70697,162893,119217,162893,119217,345883,260245,175556,0711,18027735,18027735,54,1329,0752,0921,1
73627,159037,12098,159037,12098,353348,265304,177483,0741,18774885,18774885,55,1332,0751,0959,1
71442,15717,118757,15717,118757,347607,261683,3912,072,18217710,18217710,56,1328,0753,093,1
71061,162663,122134,162663,122134,347299,260518,4619,0715,18120555,18120555,57,1333,075,0925,1
70915,162083,121244,162083,121244,346868,260306,4058,0713,18083325,18083325,58,1333,075,0923,1
71557,158148,119863,158148,119863,347474,262205,2429,072,18247035,18247035,59,1325,0755,0932,1
71301,161544,120117,161544,120117,344803,26329,0903,0717,18181755,18181755,60,131,0764,0928,2
69705,158618,121826,158618,121826,341017,260254,179937,0701,17774775,17774775,61,131,0763,0908,2
68942,159272,119942,159272,119942,34128,257207,3189,0694,17580210,17580210,62,1327,0754,0898,2
67903,15814,120729,15814,120729,340056,254243,498,0683,17315265,17315265,63,1338,0748,0884,2
67875,159902,12127,159902,12127,339818,254316,4484,0683,17308125,17308125,64,1336,0748,0884,2
68041,160086,121228,160086,121228,340902,254127,175067,0684,17350455,17350455,65,1341,0745,0886,2
67727,15949,121052,15949,121052,339082,254312,176223,0681,17270385,17270385,66,1333,075,0882,2
67275,159955,12035,159955,12035,338498,253051,175246,0677,17155125,17155125,67,1338,0748,0876,2
68037,158177,119684,158177,119684,340304,254559,4453,0684,17349435,17349435,68,1337,0748,0886,2
67480,161203,120993,161203,120993,33884,253566,175809,0679,17207400,17207400,69,1336,0748,0879,2
66566,159323,12024,159323,12024,336604,251793,5747,067,16974330,16974330,70,1337,0748,0867,2
67439,159267,121144,159267,121144,339245,253109,4433,0678,17196945,17196945,71,134,0746,0878,2
66792,160228,119341,160228,119341,337567,251927,5819,0672,17031960,17031960,72,134,0746,087,2
67483,15921,121027,15921,121027,33842,253892,4843,0679,17208165,17208165,73,1333,075,0879,2
67756,160045,120068,160045,120068,339755,253917,4223,0682,17277780,17277780,74,1338,0747,0882,2
66879,16159,121049,16159,121049,337783,252094,5992,0673,17054145,17054145,75,134,0746,0871,2
66774,158568,120087,158568,120087,337839,251656,552,0672,17027370,17027370,76,1342,0745,0869,2
66754,158925,120603,158925,120603,33771,251677,4862,0672,17022270,17022270,77,1342,0745,0869,2
67828,158464,122234,158464,122234,341491,252895,174771,0682,17296140,17296140,78,135,0741,0883,2
68473,16136,12138,16136,12138,342602,254472,4597,0689,17460615,17460615,79,1346,0743,0892,2
69030,161324,120834,161324,120834,341261,257549,3333,0694,17602650,17602650,80,1325,0755,0899,2
68319,160043,120323,160043,120323,341807,25449,3575,0687,17421345,17421345,81,1343,0745,089,2
67930,160576,120702,160576,120702,339169,255009,174893,0683,17322150,17322150,82,133,0752,0885,2
68965,15904,120356,15904,120356,341518,257114,3311,0694,17586075,17586075,83,1328,0753,0898,2
68537,159507,121148,159507,121148,341992,255164,3641,0689,17476935,17476935,84,134,0746,0892,2
66320,159983,120854,159983,120854,336791,250723,6186,0667,16911600,16911600,85,1343,0744,0864,2
67085,159435,121406,159435,121406,338912,252028,4921,0675,17106675,17106675,86,1345,0744,0874,2
66128,159948,120856,159948,120856,337054,249802,6198,0665,16862640,16862640,87,1349,0741,0861,2
67063,1608,120337,1608,120337,339113,251796,5188,0675,17101065,17101065,88,1347,0743,0873,2
66747,16085,1211,16085,1211,337055,25214,174415,0671,17020485,17020485,89,1337,0748,0869,2
68076,158243,120835,158243,120835,341082,254124,175313,0685,17359380,17359380,90,1342,0745,0886,2
70900,159455,120099,159455,120099,345626,261186,1979,0713,18079500,18079500,91,1323,0756,0923,2
67496,159273,120715,159273,120715,340601,252314,175029,0679,17211480,17211480,92,135,0741,0879,2
69265,15891,122395,15891,122395,34357,25669,176867,0697,17662575,17662575,93,1338,0747,0902,2
68178,160416,121238,160416,121238,340729,254768,175487,0686,17385390,17385390,94,1337,0748,0888,2
70570,158329,12007,158329,12007,345932,25974,2107,071,17995350,17995350,95,1332,0751,0919,2
67558,161062,120365,161062,120365,339323,253497,4281,068,17227290,17227290,96,1339,0747,088,2
68948,159829,120187,159829,120187,341676,256931,309,0694,17581740,17581740,97,133,0752,0898,2
66554,159884,120308,159884,120308,338632,25024,6161,067,16971270,16971270,98,1353,0739,0867,2
67502,159918,119787,159918,119787,338936,253577,5149,0679,17213010,17213010,99,1337,0748,0879,2
66204,160249,120432,160249,120432,336814,250267,5133,0666,16882020,16882020,100,1346,0743,0862,2
67824,158485,12028,158485,12028,339148,254627,3578,0682,17295120,17295120,101,1332,0751,0883,2
66319,159295,120798,159295,120798,336954,250598,5778,0667,16911345,16911345,102,1345,0744,0864,2
66756,160136,120855,160136,120855,337109,252133,5173,0672,17022780,17022780,103,1337,0748,0869,2
69654,160303,120669,160303,120669,342708,258781,177741,0701,17761770,17761770,104,1324,0755,0907,2
71274,160981,121971,160981,121971,346813,261665,0723,0717,18174870,18174870,105,1325,0754,0928,2
70316,160659,120619,160659,120619,345156,259387,178229,0707,17930580,17930580,106,1331,0752,0916,2
66552,159783,121076,159783,121076,338019,250686,5376,067,16970760,16970760,107,1348,0742,0867,2
70068,160982,120218,160982,120218,34453,258942,2644,0705,17867340,17867340,108,1331,0752,0912,2
69710,161341,121211,161341,121211,344107,257935,2288,0701,17776050,17776050,109,1334,075,0908,2
67029,15924,120179,15924,120179,338059,252453,5207,0674,17092395,17092395,110,1339,0747,0873,2
67615,1598,120133,1598,120133,33976,253385,4534,068,17241825,17241825,111,1341,0746,088,2
66617,160041,120673,160041,120673,337545,251283,5401,067,16987335,16987335,112,1343,0744,0867,2
67339,16002,119713,16002,119713,339093,252847,4565,0677,17171445,17171445,113,1341,0746,0877,2
66464,15828,121746,15828,121746,337363,250841,5241,0669,16948320,16948320,114,1345,0744,0865,2
67348,157682,120808,157682,120808,339979,252222,5055,0678,17173740,17173740,115,1348,0742,0877,2
68778,160123,120303,160123,120303,3421,255981,4399,0692,17538390,17538390,116,1336,0748,0896,2
67286,158961,119999,158961,119999,338791,252873,5253,0677,17157930,17157930,117,134,0746,0876,2
67704,159242,121567,159242,121567,33897,25431,4207,0681,17264520,17264520,118,1333,075,0882,2
70300,161579,12139,161579,12139,345679,258936,394,0707,17926500,17926500,119,1335,0749,0915,2
68432,158184,119322,158184,119322,340492,255896,4002,0688,17450160,17450160,120,1331,0752,0891,2
70414,160923,121816,160923,121816,346157,258998,2807,0708,17955570,17955570,121,1337,0748,0917,2
70267,159666,121333,159666,121333,34345,260494,0678,0707,17918085,17918085,122,1318,0758,0915,2
63828,159598,120026,159598,120026,332704,244266,179722,0642,16276140,16276140,123,1362,0734,0831,4
64347,161525,120451,161525,120451,33454,244901,0108,0634,16408485,16408485,124,1366,0732,0838,4
65512,159995,119803,159995,119803,337347,24726,0038,0659,16705560,16705560,125,1364,0733,0853,4
64352,160082,119851,160082,119851,333043,246021,179768,0647,16409760,16409760,126,1354,0739,0838,4
65638,159601,120404,159601,120404,337606,247545,0256,066,16737690,16737690,127,1364,0733,0855,4
65396,159328,119897,159328,119897,336523,247427,0443,0658,16675980,16675980,128,136,0735,0852,4
