Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,IntDen,RawIntDen,Slice,AR,Round,Solidity,especie
74546,159.519,120.578,159.519,120.578,355.001,267.365,1.159,0.75,19009230,19009230,1,1.328,0.753,0.971,1
75894,159.857,120.385,159.857,120.385,358.649,269.431,179.969,0.763,19352970,19352970,2,1.331,0.751,0.988,1
75817,159.905,120.741,159.905,120.741,359.091,268.827,179.947,0.763,19333335,19333335,3,1.336,0.749,0.987,1
74900,160.677,121.057,160.677,121.057,355.907,267.951,0.681,0.753,19099500,19099500,4,1.328,0.753,0.975,1
74348,161.518,121.035,161.518,121.035,353.682,267.65,0.891,0.748,18958740,18958740,5,1.321,0.757,0.968,1
73932,159.377,119.569,159.377,119.569,353.883,266.001,2.136,0.744,18852660,18852660,6,1.33,0.752,0.963,1
73811,158.962,119.311,158.962,119.311,353.421,265.913,2.05,0.743,18821805,18821805,7,1.329,0.752,0.961,1
74032,159.111,120.061,159.111,120.061,353.747,266.463,2.063,0.745,18878160,18878160,8,1.328,0.753,0.964,1
73932,158.788,120.591,158.788,120.591,352.501,267.044,0.329,0.744,18852660,18852660,9,1.32,0.758,0.963,1
74057,159.055,120.295,159.055,120.295,353.182,266.98,0.546,0.738,18884535,18884535,10,1.323,0.756,0.964,1
72854,158.401,119.795,158.401,119.795,350.296,264.806,1.923,0.733,18577770,18577770,11,1.323,0.756,0.949,1
73809,159.049,119.709,159.049,119.709,353.259,266.028,2.236,0.743,18821295,18821295,12,1.328,0.753,0.961,1
72494,158.245,120.3,158.245,120.3,348.231,265.06,1.299,0.729,18485970,18485970,13,1.314,0.761,0.944,1
73398,159.491,119.711,159.491,119.711,352.239,265.312,1.964,0.738,18716490,18716490,14,1.328,0.753,0.956,1
73444,158.721,119.46,158.721,119.46,352.289,265.44,2.326,0.739,18728220,18728220,15,1.327,0.753,0.956,1
74258,159.226,119.699,159.226,119.699,354.671,266.58,1.928,0.747,18935790,18935790,16,1.33,0.752,0.967,1
74551,159.098,119.673,159.098,119.673,355.032,267.36,1.364,0.75,19010505,19010505,17,1.328,0.753,0.971,1
73328,158.995,119.649,158.995,119.649,352.083,265.177,1.948,0.738,18698640,18698640,18,1.328,0.753,0.955,1
74373,159.495,119.701,159.495,119.701,354.629,267.025,1.777,0.748,18965115,18965115,19,1.328,0.753,0.968,1
74386,159.355,119.721,159.355,119.721,354.524,267.151,1.413,0.748,18968430,18968430,20,1.327,0.754,0.969,1
72278,158.243,119.451,158.243,119.451,349.395,263.39,2.78,0.727,18430890,18430890,21,1.327,0.754,0.941,1
73284,158.674,119.45,158.674,119.45,351.88,265.17,2.49,0.738,18687420,18687420,22,1.327,0.754,0.954,1
74619,159.128,119.706,159.128,119.706,355.103,267.55,1.487,0.751,19027845,19027845,23,1.327,0.753,0.972,1
74784,159.128,119.575,159.128,119.575,355.754,267.651,1.61,0.752,19069920,19069920,24,1.329,0.752,0.974,1
74598,159.4,119.774,159.4,119.774,355.42,267.236,1.659,0.751,19022490,19022490,25,1.33,0.752,0.971,1
74206,159.153,120.047,159.153,120.047,354.076,266.841,1.56,0.747,18922530,18922530,26,1.327,0.754,0.966,1
72761,158.754,119.598,158.754,119.598,350.676,264.181,2.017,0.732,18554055,18554055,27,1.327,0.753,0.947,1
74357,159.133,119.65,159.133,119.65,355.163,266.565,1.847,0.746,18961035,18961035,28,1.332,0.751,0.968,1
73942,158.73,119.415,158.73,119.415,353.825,266.08,2.282,0.744,18855210,18855210,29,1.33,0.752,0.963,1
73611,158.951,119.465,158.951,119.465,353.116,265.421,2.47,0.729,18770805,18770805,30,1.33,0.752,0.958,1
72812,158.71,119.581,158.71,119.581,351.017,264.11,3.043,0.732,18567060,18567060,31,1.329,0.752,0.948,1
72726,158.164,119.923,158.164,119.923,350.334,264.312,2.423,0.732,18545130,18545130,32,1.325,0.754,0.947,1
72643,158.376,119.406,158.376,119.406,350.845,263.626,2.841,0.731,18523965,18523965,33,1.331,0.751,0.946,1
73243,159.148,119.174,159.148,119.174,352.826,264.312,3.035,0.737,18676965,18676965,34,1.335,0.749,0.954,1
73379,158.958,119.222,158.958,119.222,353.312,264.438,2.138,0.738,18711645,18711645,35,1.336,0.748,0.955,1
72913,158.225,118.972,158.225,118.972,351.387,264.198,2.968,0.733,18592815,18592815,36,1.33,0.752,0.949,1
73100,158.398,119.297,158.398,119.297,351.848,264.529,2.836,0.735,18640500,18640500,37,1.33,0.752,0.952,1
72286,158.151,119.028,158.151,119.028,350.137,262.861,3.513,0.727,18432930,18432930,38,1.332,0.751,0.941,1
73916,159.546,119.824,159.546,119.824,354.014,265.845,2.097,0.741,18848580,18848580,39,1.332,0.751,0.962,1
74183,159.333,119.882,159.333,119.882,354.695,266.293,1.914,0.744,18916665,18916665,40,1.332,0.751,0.966,1
73125,158.626,119.503,158.626,119.503,351.963,264.532,2.74,0.736,18646875,18646875,41,1.331,0.752,0.952,1
73808,158.929,119.399,158.929,119.399,353.72,265.677,2.366,0.742,18821040,18821040,42,1.331,0.751,0.961,1
74131,158.992,119.724,158.992,119.724,354.479,266.268,2.268,0.746,18903405,18903405,43,1.331,0.751,0.965,1
73649,158.926,119.42,158.926,119.42,353.453,265.305,2.542,0.741,18780495,18780495,44,1.332,0.751,0.959,1
71689,157.946,119.001,157.946,119.001,348.936,261.587,3.815,0.721,18280695,18280695,45,1.334,0.75,0.933,1
71024,157.789,119.095,157.789,119.095,346.537,260.955,3.817,0.714,18111120,18111120,46,1.328,0.753,0.925,1
72358,158.221,118.892,158.221,118.892,350.91,262.543,3.864,0.72,18451290,18451290,47,1.337,0.748,0.942,1
73861,159.537,120.596,159.537,120.596,354.056,265.615,177.779,0.743,18834555,18834555,48,1.333,0.75,0.962,1
72334,158.451,121.167,158.451,121.167,350.456,262.796,176.855,0.728,18445170,18445170,49,1.334,0.75,0.942,1
72434,158.281,119.133,158.281,119.133,350.736,262.95,3.674,0.728,18470670,18470670,50,1.334,0.75,0.943,1
72400,158.393,119.257,158.393,119.257,350.051,263.34,3.264,0.728,18462000,18462000,51,1.329,0.752,0.943,1
73294,161.431,121.01,161.431,121.01,352.659,264.621,3.195,0.737,18689970,18689970,52,1.333,0.75,0.954,1
72801,158.565,120.049,158.565,120.049,350.803,264.231,2.323,0.732,18564255,18564255,53,1.328,0.753,0.948,1
70697,162.893,119.217,162.893,119.217,345.883,260.245,175.556,0.711,18027735,18027735,54,1.329,0.752,0.921,1
73627,159.037,120.98,159.037,120.98,353.348,265.304,177.483,0.741,18774885,18774885,55,1.332,0.751,0.959,1
71442,157.17,118.757,157.17,118.757,347.607,261.683,3.912,0.72,18217710,18217710,56,1.328,0.753,0.93,1
71061,162.663,122.134,162.663,122.134,347.299,260.518,4.619,0.715,18120555,18120555,57,1.333,0.75,0.925,1
70915,162.083,121.244,162.083,121.244,346.868,260.306,4.058,0.713,18083325,18083325,58,1.333,0.75,0.923,1
71557,158.148,119.863,158.148,119.863,347.474,262.205,2.429,0.72,18247035,18247035,59,1.325,0.755,0.932,1
71301,161.544,120.117,161.544,120.117,344.803,263.29,0.903,0.717,18181755,18181755,60,1.31,0.764,0.928,2
69705,158.618,121.826,158.618,121.826,341.017,260.254,179.937,0.701,17774775,17774775,61,1.31,0.763,0.908,2
68942,159.272,119.942,159.272,119.942,341.28,257.207,3.189,0.694,17580210,17580210,62,1.327,0.754,0.898,2
67903,158.14,120.729,158.14,120.729,340.056,254.243,4.98,0.683,17315265,17315265,63,1.338,0.748,0.884,2
67875,159.902,121.27,159.902,121.27,339.818,254.316,4.484,0.683,17308125,17308125,64,1.336,0.748,0.884,2
68041,160.086,121.228,160.086,121.228,340.902,254.127,175.067,0.684,17350455,17350455,65,1.341,0.745,0.886,2
67727,159.49,121.052,159.49,121.052,339.082,254.312,176.223,0.681,17270385,17270385,66,1.333,0.75,0.882,2
67275,159.955,120.35,159.955,120.35,338.498,253.051,175.246,0.677,17155125,17155125,67,1.338,0.748,0.876,2
68037,158.177,119.684,158.177,119.684,340.304,254.559,4.453,0.684,17349435,17349435,68,1.337,0.748,0.886,2
67480,161.203,120.993,161.203,120.993,338.84,253.566,175.809,0.679,17207400,17207400,69,1.336,0.748,0.879,2
66566,159.323,120.24,159.323,120.24,336.604,251.793,5.747,0.67,16974330,16974330,70,1.337,0.748,0.867,2
67439,159.267,121.144,159.267,121.144,339.245,253.109,4.433,0.678,17196945,17196945,71,1.34,0.746,0.878,2
66792,160.228,119.341,160.228,119.341,337.567,251.927,5.819,0.672,17031960,17031960,72,1.34,0.746,0.87,2
67483,159.21,121.027,159.21,121.027,338.42,253.892,4.843,0.679,17208165,17208165,73,1.333,0.75,0.879,2
67756,160.045,120.068,160.045,120.068,339.755,253.917,4.223,0.682,17277780,17277780,74,1.338,0.747,0.882,2
66879,161.59,121.049,161.59,121.049,337.783,252.094,5.992,0.673,17054145,17054145,75,1.34,0.746,0.871,2
66774,158.568,120.087,158.568,120.087,337.839,251.656,5.52,0.672,17027370,17027370,76,1.342,0.745,0.869,2
66754,158.925,120.603,158.925,120.603,337.71,251.677,4.862,0.672,17022270,17022270,77,1.342,0.745,0.869,2
67828,158.464,122.234,158.464,122.234,341.491,252.895,174.771,0.682,17296140,17296140,78,1.35,0.741,0.883,2
68473,161.36,121.38,161.36,121.38,342.602,254.472,4.597,0.689,17460615,17460615,79,1.346,0.743,0.892,2
69030,161.324,120.834,161.324,120.834,341.261,257.549,3.333,0.694,17602650,17602650,80,1.325,0.755,0.899,2
68319,160.043,120.323,160.043,120.323,341.807,254.49,3.575,0.687,17421345,17421345,81,1.343,0.745,0.89,2
67930,160.576,120.702,160.576,120.702,339.169,255.009,174.893,0.683,17322150,17322150,82,1.33,0.752,0.885,2
68965,159.04,120.356,159.04,120.356,341.518,257.114,3.311,0.694,17586075,17586075,83,1.328,0.753,0.898,2
68537,159.507,121.148,159.507,121.148,341.992,255.164,3.641,0.689,17476935,17476935,84,1.34,0.746,0.892,2
66320,159.983,120.854,159.983,120.854,336.791,250.723,6.186,0.667,16911600,16911600,85,1.343,0.744,0.864,2
67085,159.435,121.406,159.435,121.406,338.912,252.028,4.921,0.675,17106675,17106675,86,1.345,0.744,0.874,2
66128,159.948,120.856,159.948,120.856,337.054,249.802,6.198,0.665,16862640,16862640,87,1.349,0.741,0.861,2
67063,160.8,120.337,160.8,120.337,339.113,251.796,5.188,0.675,17101065,17101065,88,1.347,0.743,0.873,2
66747,160.85,121.1,160.85,121.1,337.055,252.14,174.415,0.671,17020485,17020485,89,1.337,0.748,0.869,2
68076,158.243,120.835,158.243,120.835,341.082,254.124,175.313,0.685,17359380,17359380,90,1.342,0.745,0.886,2
70900,159.455,120.099,159.455,120.099,345.626,261.186,1.979,0.713,18079500,18079500,91,1.323,0.756,0.923,2
67496,159.273,120.715,159.273,120.715,340.601,252.314,175.029,0.679,17211480,17211480,92,1.35,0.741,0.879,2
69265,158.91,122.395,158.91,122.395,343.57,256.69,176.867,0.697,17662575,17662575,93,1.338,0.747,0.902,2
68178,160.416,121.238,160.416,121.238,340.729,254.768,175.487,0.686,17385390,17385390,94,1.337,0.748,0.888,2
70570,158.329,120.07,158.329,120.07,345.932,259.74,2.107,0.71,17995350,17995350,95,1.332,0.751,0.919,2
67558,161.062,120.365,161.062,120.365,339.323,253.497,4.281,0.68,17227290,17227290,96,1.339,0.747,0.88,2
68948,159.829,120.187,159.829,120.187,341.676,256.931,3.09,0.694,17581740,17581740,97,1.33,0.752,0.898,2
66554,159.884,120.308,159.884,120.308,338.632,250.24,6.161,0.67,16971270,16971270,98,1.353,0.739,0.867,2
67502,159.918,119.787,159.918,119.787,338.936,253.577,5.149,0.679,17213010,17213010,99,1.337,0.748,0.879,2
66204,160.249,120.432,160.249,120.432,336.814,250.267,5.133,0.666,16882020,16882020,100,1.346,0.743,0.862,2
67824,158.485,120.28,158.485,120.28,339.148,254.627,3.578,0.682,17295120,17295120,101,1.332,0.751,0.883,2
66319,159.295,120.798,159.295,120.798,336.954,250.598,5.778,0.667,16911345,16911345,102,1.345,0.744,0.864,2
66756,160.136,120.855,160.136,120.855,337.109,252.133,5.173,0.672,17022780,17022780,103,1.337,0.748,0.869,2
69654,160.303,120.669,160.303,120.669,342.708,258.781,177.741,0.701,17761770,17761770,104,1.324,0.755,0.907,2
71274,160.981,121.971,160.981,121.971,346.813,261.665,0.723,0.717,18174870,18174870,105,1.325,0.754,0.928,2
70316,160.659,120.619,160.659,120.619,345.156,259.387,178.229,0.707,17930580,17930580,106,1.331,0.752,0.916,2
